title,product_type,size,size_factor,pathway,tailored,natural_dye,dye_type,gsm,metres_per_unit,fabric_kg_per_unit,E_transport,E_electricity,E_water,E_tailoring,E_total_kg_co2e,avoided_kg_co2e
Recomposed Tang Jacket (Huchang-Red),Blouse,F,1.0,A,Yes,Yes,Huchang-Red,160,1.3,0.1976,0.9846,0.163,0.00082,0.166,1.3144,0
Loomline Utility Jacket in Huchang-Red,Shirt,F,1.0,A,Yes,Yes,Huchang-Red,160,1.3,0.1976,0.9846,0.163,0.00082,0.166,1.3144,0
Loomline Utility Jacket in Ebony Gray,Shirt,F,1.0,A,Yes,Yes,Ebony,160,1.3,0.1976,0.9846,0.163,0.00082,0.166,1.3144,0
Batwing Cropped Blouse in Buak Blue Patchwork,Tank Top,F,1.0,A,Yes,Yes,Buak/Indigo,100,0.6,0.057,0.2840,0.047,0.00024,0.0479,0.3791,0
Batwing Cropped Blouse in Buak Blue Patchwork,Tank Top,L+2,1.15,A,Yes,Yes,Buak/Indigo,100,0.69,0.0655,0.3264,0.054,0.00027,0.055,0.4357,0
Batwing Cropped Blouse in Lac Pink Patchwork,Tank Top,F,1.0,A,Yes,Yes,Lac,100,0.6,0.057,0.2840,0.047,0.00024,0.0479,0.3791,0
Batwing Cropped Blouse in Lac Pink Patchwork,Tank Top,L+2,1.15,A,Yes,Yes,Lac,100,0.69,0.0655,0.3264,0.054,0.00027,0.055,0.4357,0
Kimono Shortsleeved Blouse in Applique,Top,F,1.0,A,Yes,No,Undyed,130,1.0,0.1235,0.6154,0.1019,0,0.1037,0.8210,0
Kimono Shortsleeved Blouse in Lac Pink/Ebony Gray,Top,F,1.0,A,Yes,Yes,Ebony,130,1.0,0.1235,0.6154,0.1019,0.00051,0.1037,0.8215,0
Kimono Shortsleeved Blouse in Closed-Loop Buak Blue,Top,F,1.0,B,Yes,Yes,Buak/Indigo,100,1.0,0.095,0.4734,0.0784,0.00039,0.0798,0.6320,0.1035
Kimono Shortsleeved Blouse in Buak Blue/Natural Brown,Top,F,1.0,A,Yes,No,Natural,130,1.0,0.1235,0.6154,0.1019,0,0.1037,0.8210,0
Kimono Shortsleeved Blouse in Lac Pink Patchwork,Top,F,1.0,A,Yes,Yes,Lac,130,1.0,0.1235,0.6154,0.1019,0.00051,0.1037,0.8215,0
Kimono Shortsleeved Blouse in Buak Blue Patchwork,Top,F,1.0,A,Yes,Yes,Buak/Indigo,130,1.0,0.1235,0.6154,0.1019,0.00051,0.1037,0.8215,0
Aunty Plian's Light Scarf Blue/Yellow,Scarf,F,1.0,A,No,Yes,Enmon,100,0.9,0.0855,0.4260,0.0705,0.00035,0,0.4969,0
Aunty Plian's Turtle Shell Scarf White/Blue,Scarf,F,1.0,A,No,Yes,Indigo/Buak,100,0.9,0.0855,0.4260,0.0705,0.00035,0,0.4969,0
Aunty Plian's Turtle Shell Scarf Blue/Brown,Scarf,F,1.0,A,No,Yes,Indigo/Buak,100,0.9,0.0855,0.4260,0.0705,0.00035,0,0.4969,0
Aunty Plian's Turtle Shell Scarf Brown/Blue,Scarf,F,1.0,A,No,Yes,Indigo/Buak,100,0.9,0.0855,0.4260,0.0705,0.00035,0,0.4969,0
Aunty Plian's Turtle Shell Scarf Brown/White,Scarf,F,1.0,A,No,No,Undyed,100,0.9,0.0855,0.4260,0.0705,0,0,0.4965,0
Aunty Plian's Light Scarf Blue/Orange,Scarf,F,1.0,A,No,Yes,Mixed dye,100,0.9,0.0855,0.4260,0.0705,0.00035,0,0.4969,0
Aunty Plian's Light Scarf Taupe/Yellow,Scarf,F,1.0,A,No,Yes,Enmon,100,0.9,0.0855,0.4260,0.0705,0.00035,0,0.4969,0
Aunty Plian's Light Scarf Yellow/White,Scarf,F,1.0,A,No,No,Undyed,100,0.9,0.0855,0.4260,0.0705,0,0,0.4965,0
Aunty Plian's Turtle Shell Scarf Blue/Brown II,Scarf,F,1.0,A,No,Yes,Indigo/Buak,100,0.9,0.0855,0.4260,0.0705,0.00035,0,0.4969,0
Aunty Plian's Light Scarf Blue/Yellow/Indigo,Scarf,F,1.0,A,No,Yes,Enmon,100,0.9,0.0855,0.4260,0.0705,0.00035,0,0.4969,0
Aunty Plian's Light Scarf Yellow/Taupe,Scarf,F,1.0,A,No,Yes,Mixed dye,100,0.9,0.0855,0.4260,0.0705,0.00035,0,0.4969,0
Aunty Plian's Light Scarf Indigo/Taupe,Scarf,F,1.0,A,No,Yes,Indigo,100,0.9,0.0855,0.4260,0.0705,0.00035,0,0.4969,0
Aunty Plian's Light Scarf Blue/Yellow/Taupe,Scarf,F,1.0,A,No,Yes,Enmon,100,0.9,0.0855,0.4260,0.0705,0.00035,0,0.4969,0
Men's Mandarin Collar Long Sleeve Shirt in Natural Brown,Shirt,S,0.88,A,Yes,No,Natural,160,1.144,0.1739,0.8665,0.1435,0,0.1461,1.1561,0
Men's Mandarin Collar Long Sleeve Shirt in Natural Brown,Shirt,M,1.0,A,Yes,No,Natural,160,1.3,0.1976,0.9846,0.163,0,0.166,1.3136,0
Men's Mandarin Collar Long Sleeve Shirt in Natural Brown,Shirt,L,1.1,A,Yes,No,Natural,160,1.43,0.2174,1.0833,0.1793,0,0.1826,1.4452,0
Men's Mandarin Collar Long Sleeve Shirt in Natural Brown,Shirt,XL,1.2,A,Yes,No,Natural,160,1.56,0.2371,1.1815,0.1956,0,0.1992,1.5763,0
Men's Mandarin Collar Short Sleeve Shirt NNB in  Natural Brown,Shirt,S,0.88,A,Yes,No,Natural,160,1.144,0.1739,0.8665,0.1435,0,0.1461,1.1561,0
Men's Mandarin Collar Short Sleeve Shirt NNB in  Natural Brown,Shirt,M,1.0,A,Yes,No,Natural,160,1.3,0.1976,0.9846,0.163,0,0.166,1.3136,0
Men's Mandarin Collar Short Sleeve Shirt NNB in  Natural Brown,Shirt,L,1.1,A,Yes,No,Natural,160,1.43,0.2174,1.0833,0.1793,0,0.1826,1.4452,0
Men's Mandarin Collar Short Sleeve Shirt NNB in  Natural Brown,Shirt,XL,1.2,A,Yes,No,Natural,160,1.56,0.2371,1.1815,0.1956,0,0.1992,1.5763,0
Men's Mandarin Collar Short Sleeve Shirt NNB in Dark Ebony,Shirt,S,0.88,A,Yes,Yes,Ebony,160,1.144,0.1739,0.8665,0.1435,0.00072,0.1461,1.1568,0
Men's Mandarin Collar Short Sleeve Shirt NNB in Dark Ebony,Shirt,M,1.0,A,Yes,Yes,Ebony,160,1.3,0.1976,0.9846,0.163,0.00082,0.166,1.3144,0
Men's Mandarin Collar Short Sleeve Shirt NNB in Dark Ebony,Shirt,L,1.1,A,Yes,Yes,Ebony,160,1.43,0.2174,1.0833,0.1793,0.0009,0.1826,1.4461,0
